region;spp_name;latin_name;rfmo;rfmo_stock_id;x3a_code;worms_aphia_id;fides_area;area;area_bis;tac_area_description;comments;latin_name_join;area_rdb;include_in_table_2.1;comments_dev;area_rdbes
North-East Atlantic;Pollack;Pollachius pollachius;ICES;NA;POL;126440;08C.;8c;27_8_C;;FIDES match;Pollachius pollachius;27.8.c;yes;;27.8.c
North-East Atlantic;Pollack;Pollachius pollachius;ICES;NA;POL;126440;sept-11;9, 10;27_9,27_10;;FIDES match;Pollachius pollachius;27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.b,27.10.b.1,27.10.b.2,27.10.a,27.10.a.1,27.10.a.2;yes;;27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.a.1,27.10.a.2,27.10.b
North-East Atlantic;Saithe;Pollachius virens;ICES;NA;POK;126441;56-14;5b, 6, 12, 14;27_5_B,27_6,27_12,27_14;;FIDES match;Pollachius virens;27.5.b,27.5.b.1,27.5.b.2,27.5.b.1.a,27.5.b.1.b,27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.b,27.12.c,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2;yes;;27.5.b,27.5.b.1,27.5.b.1.a,27.5.b.1.b,27.5.b.2,27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2,27.12,27.12.a,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.12.b,27.12.c,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2
North-East Atlantic;Saithe;Pollachius virens;ICES;NA;POK;126441;juil-11;7, 8, 9, 10;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;VII, VIII, IX, X, COPACE 34.1.1(1);FIDES match;Pollachius virens;27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2,27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.8.d.1,27.8.d.2,27.8.e.1,27.8.e.2,27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.b,27.10.b.1,27.10.b.2,27.10.a,27.10.a.1,27.10.a.2;yes;;27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2,27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.d.1,27.8.d.2,27.8.e,27.8.e.1,27.8.e.2,27.9,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.a.1,27.10.a.2,27.10.b
North-East Atlantic;Wreckfish;Polyprion americanus;ICES;NA;WRF;126998;NoTAC;10;27_10;;;Polyprion americanus;27.10,27.10.b,27.10.b.1,27.10.b.2,27.10.a,27.10.a.1,27.10.a.2;yes;;27.10,27.10.a,27.10.a.1,27.10.a.2,27.10.b
North-East Atlantic;Blonde ray;Raja brachyura;ICES;NA;RJH;105882;67AKXD;4a, 6;27_4_A,27_6;;FIDES match but difference with area;Raja brachyura;27.4.a,27.4.a.w,27.4.a.e,27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2;yes;;27.4.a,27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2
North-East Atlantic;Blonde ray;Raja brachyura;ICES;NA;RJH;105882;67AKXD;7a,7fg;27_7_A,27_7_F,27_7_G;;FIDES match but difference with area;Raja brachyura;27.7.a,27.7.f,27.7.g;yes;;27.7.a,27.7.f,27.7.g
North-East Atlantic;Blonde ray;Raja brachyura;ICES;NA;RJH;105882;67AKXD;7e;27_7_E;;FIDES match but difference with area;Raja brachyura;27.7.e;yes;;27.7.e
North-East Atlantic;Blonde ray;Raja brachyura;ICES;NA;RJH;105882;89-C.;9a;27_9_A;;FIDES match but difference with area;Raja brachyura;27.9.a;yes;;27.9.a
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;67AKXD;6;27_6;;FIDES match but difference with area;Raja clavata;27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2;yes;;27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;67AKXD;7a, 7fg;27_7_A,27_7_F,27_7_G;;FIDES match but difference with area;Raja clavata;27.7.a,27.7.f,27.7.g;yes;;27.7.a,27.7.f,27.7.g
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;67AKXD;7e;27_7_E;;FIDES match but difference with area;Raja clavata;27.7.e;yes;;27.7.e
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;89-C.;8;27_8;;FIDES match but difference with area;Raja clavata;27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.8.d.1,27.8.d.2,27.8.e.1,27.8.e.2;yes;;27.8,27.8.a,27.8.b,27.8.c,27.8.d,27.8.d.1,27.8.d.2,27.8.e,27.8.e.1,27.8.e.2
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;89-C.;9a;27_9_A;;FIDES match but difference with area;Raja clavata;27.9.a;yes;;27.9.a
North-East Atlantic;Thornback ray;Raja clavata;ICES;NA;RJC;105883;NoTAC;10, 12;27_10,27_12;;;Raja clavata;27.10,27.10.b,27.10.b.1,27.10.b.2,27.10.a,27.10.a.1,27.10.a.2,27.12,27.12.a,27.12.b,27.12.c,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4;yes;;27.10,27.10.a,27.10.a.1,27.10.a.2,27.10.b,27.12,27.12.a,27.12.a.1,27.12.a.2,27.12.a.3,27.12.a.4,27.12.b,27.12.c
North-East Atlantic;All skates and rays;Rajidae;ICES;NA;SRX;"1019159,
  105711,
  105766,
  105863,
  105864,
  105865,
  105871,
  105872,
  105875,
  105881,
  105884,
  105886,
  105888,
  105892,
  105893,
  105894,
  105896,
  158554,
  217393,
  217410,
  271553,
  367297,
  398306";67AKXD;6a, 6b, 7a-c, 7e-k;27_6_A,27_6_B,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;Extra row and FIDES code stands for rays not elsewhere reported;Rajella lintea,Rajidae,Raja,Amblyraja hyperborea,Amblyraja jenseni,Amblyraja radiata,Dipturus nidarosiensis,Dipturus oxyrinchus,Leucoraja melitensis,Raja asterias,Raja maderensis,Raja miraletus,Raja polystigma,Rajella bathyphila,Rajella bigelowi,Rajella fyllae,Rostroraja alba,Malacoraja senta,Dipturus campbelli,Rajella barnardi,Dipturus macrocauda,Neoraja iberica;27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.6.b.1,27.6.b.2,27.7.a,27.7.b,27.7.c,27.7.c.1,27.7.c.2,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2;yes;;27.6.a,27.6.b,27.6.b.1,27.6.b.2,27.7.a,27.7.b,27.7.c,27.7.c.1,27.7.c.2,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.j.1,27.7.j.2,27.7.k,27.7.k.1,27.7.k.2
North-East Atlantic;Small-eyed ray;Raja microocellata;ICES;NA;RJE;105885;07D.;7e;27_7_E;;FIDES match but difference with area;Raja microocellata;27.7.e;yes;;27.7.e
North-East Atlantic;Small-eyed ray;Raja microocellata;ICES;NA;RJE;105885;7FG.;7fg;27_7_F,27_7_G;;FIDES match;Raja microocellata;27.7.f,27.7.g;yes;;27.7.f,27.7.g
North-East Atlantic;Spotted ray;Raja montagui;ICES;NA;RJM;105887;67AKXD;6, 7b, 7j;27_6,27_7_B,27_7_J;;FIDES match but difference with area;Raja montagui;27.6,27.6.a,27.6.b,27.6.a.n,27.6.a.s,27.6.b.1,27.6.b.2,27.7.b,27.7.j,27.7.j.1,27.7.j.2;yes;;27.6,27.6.a,27.6.b,27.6.b.1,27.6.b.2,27.7.b,27.7.j,27.7.j.1,27.7.j.2
North-East Atlantic;Spotted ray;Raja montagui;ICES;NA;RJM;105887;67AKXD;7a, 7e-h;27_7_A,,27_7_E,27_7_F,27_7_G,27_7_H;;FIDES match but difference with area;Raja montagui;27.7.a,,27.7.e,27.7.f,27.7.g,27.7.h;yes;;27.7.a,,27.7.e,27.7.f,27.7.g,27.7.h
