"","specie_name","specie_code"
"364","Hemitremia flammea","1020139"
"365","Henicorhynchus caudimaculatus","1525422"
"366","Henicorhynchus siamensis","1014537"
"367","Horadandia atukorali","281090"
"368","Raiamas ansorgii","1017855"
"369","Hypselobarbus curmuca","1026564"
"370","Hypselobarbus jerdoni","1020642"
"371","Hypsibarbus lagleri","1384084"
"372","Hypsibarbus pierrei","1020029"
"373","Hypsibarbus wetmorei","1026559"
"374","Iberocypris palaciosi","1012437"
"375","Inlecypris auropurpureus","1530834"
"376","Iranocypris typhlops","1529758"
"377","Kalimantania lawak","1026996"
"378","Ladigesocypris ghigii","1624242"
"379","Ladislavia taczanowskii","1020663"
"380","Lagowskiella czekanowskii","1535104"
"381","Lepidopygopsis typus","1014755"
"382","Leptocypris guineensis","1013702"
"383","Leptocypris niloticus","1019484"
"384","Leucalburnus kosswigi","314842"
"385","Leucaspius delineatus","154321"
"386","Lobocheilos bo","1470720"
"387","Longiculter siahi","1015042"
"388","Luciosoma bleekeri","1020028"
"389","Lythrurus roseipinnis","1019854"
"390","Lythrurus snelsoni","1011987"
"391","Macrhybopsis aestivalis","1021445"
"392","Macrochirichthys macrochirus","1018531"
"393","Margariscus margarita","567534"
"394","Meda fulgida","1021389"
"395","Mekongina erythrospila","1015046"
"396","Mesobola brevianalis","1014630"
"397","Microphysogobio koreensis","1015265"
"398","Microrasbora erythromicron","1530837"
"399","Moapa coriacea","1014301"
"400","Mylopharodon conocephalus","1021496"
"401","Mystacoleucus argenteus","1467482"
"402","Mystacoleucus padangensis","1021722"
"403","Mystacoleucus marginatus","1022178"
"404","Mystacoleucus atridorsalis","1383245"
"405","Nematabramis alestes","1526109"
"406","Neobola moeruensis","1488260"
"407","Neolissochilus blanci","1014868"
"408","Neolissochilus hexagonolepis","1022528"
"409","Ochetobius elongatus","1018534"
"410","Onychostoma alticorpus","1525698"
"411","Opsaridium microlepis","1018989"
"412","Opsaridium microcephalum","1019254"
"413","Opsopoeodus emiliae","1019546"
