"specie_name","specie_code"
"Megalobrama terminalis","1015822"
"Mylocheilus caurinus","281605"
"Lepidomeda vittata","1020375"
"Diptychus maculatus","1012518"
"Ptychobarbus conirostris","1012852"
"Schizopygopsis pylzovi","1019586"
"Tiaroga cobitis","1419387"
"Puntius binotatus","1484106"
"Puntius amphibius","282514"
"Puntius arulius","1537251"
"Puntius conchonius","991301"
"Puntius filamentosus","282516"
"Puntius orphoides","1625032"
"Puntius sophore","282518"
"Puntius tetrazona","991303"
"Puntius ticto","282519"
"Puntius lateristriga","1622959"
"Puntius puntio","1022797"
"Capoetobrama kuschakewitschi","-999"
"Carassioides cantonensis","1568329"
"Cephalakompsus pachycheilus","1530957"
"Chanodichthys dabryi","1020571"
"Chanodichthys erythropterus","1016987"
"Chanodichthys mongolicus","1020530"
"Coptostomabarbus bellcrossi","1012819"
"Coreoleuciscus splendidus","1015267"
"Cosmochilus cardinalis","1011938"
"Cyprinion watsoni","1013915"
"Danionella translucida","1011849"
"Discherodontus ashmeadi","1015087"
"Distoechodon tumirostris","1016354"
"Eirmotus octozona","1010586"
"Elopichthys bambusa","1022039"
"Engraulicypris sardella","1026366"
"Epalzeorhynchos bicolor","1015830"
"Epalzeorhynchos kalopterus","1621461"
"Eremichthys acros","1014302"
"Erimystax dissimilis","1019706"
"Esomus danricus","280715"
"Eupallasella perenurus","1623352"
"Exoglossum maxillingua","1026585"
"Gobiobotia brevibarba","1008141"
"Gymnocypris biswasi","1527262"
"Hemigrammocapoeta kemali","1027013"
"Hemigrammocypris lini","1527941"
"Hemitremia flammea","1020139"
"Henicorhynchus caudimaculatus","1525422"
"Henicorhynchus siamensis","1014537"
"Horadandia atukorali","281090"
"Raiamas ansorgii","1017855"
"Hypselobarbus curmuca","1026564"
"Hypselobarbus jerdoni","1020642"
"Hypsibarbus lagleri","1384084"
"Hypsibarbus pierrei","1020029"
"Hypsibarbus wetmorei","1026559"
"Iberocypris palaciosi","1012437"
"Inlecypris auropurpureus","1530834"
"Iranocypris typhlops","1529758"
"Kalimantania lawak","1026996"
"Ladigesocypris ghigii","1624242"
"Ladislavia taczanowskii","1020663"
"Lagowskiella czekanowskii","1535104"
"Lepidopygopsis typus","1014755"
"Leptocypris guineensis","1013702"
"Leptocypris niloticus","1019484"
"Leucalburnus kosswigi","314842"
"Leucaspius delineatus","154321"
"Lobocheilos bo","1470720"
"Longiculter siahi","1015042"
"Luciosoma bleekeri","1020028"
"Lythrurus roseipinnis","1019854"
"Lythrurus snelsoni","1011987"
"Macrhybopsis aestivalis","1021445"
"Macrochirichthys macrochirus","1018531"
"Margariscus margarita","567534"
"Meda fulgida","1021389"
"Mekongina erythrospila","1015046"
"Mesobola brevianalis","1014630"
"Microphysogobio koreensis","1015265"
"Microrasbora erythromicron","1530837"
"Moapa coriacea","1014301"
"Mylopharodon conocephalus","1021496"
"Mystacoleucus argenteus","1467482"
"Mystacoleucus padangensis","1021722"
"Mystacoleucus marginatus","1022178"
"Mystacoleucus atridorsalis","1383245"
"Nematabramis alestes","1526109"
"Neobola moeruensis","1488260"
"Neolissochilus blanci","1014868"
"Neolissochilus hexagonolepis","1022528"
"Ochetobius elongatus","1018534"
"Onychostoma alticorpus","1525698"
"Opsaridium microlepis","1018989"
"Opsaridium microcephalum","1019254"
"Opsopoeodus emiliae","1019546"
"Oreichthys cosuatis","1026491"
"Oreoleuciscus handlirschi","1624863"
"Ospatulus palaemophagus","1530963"
"Osteobrama belangeri","1021210"
"Osteobrama cotio","1026492"
"Oxygaster anomalura","1022111"
"Oxygaster pointoni","1015543"
"Pachychilon macedonicum","1019559"
"Parachela cyanea","1010859"
"Parachela oxygastroides","1026711"
"Parachela siamensis","1020729"
"Paracrossochilus acerus","1013678"
"Paralaubuca barroni","1015548"
"Parapsilorhynchus tentaculatus","1016968"
"Pararasbora moltrechti","1018036"
"Parazacco vuquangensis","1010868"
"Parluciosoma labiosa","1623261"
"Pectenocypris balaena","1011541"
"Phoxinellus adspersus","1516703"
"Phoxinus cumberlandensis","1527152"
"Phoxinus eos","567539"
"Phoxinus erythrogaster","1249855"
"Phoxinus neogaeus","567542"
"Phoxinus phoxinus","154326"
"Phreatichthys andruzzii","1016403"
"Plagiognathops microlepis","1020573"
"Platygobio gracilis","567544"
"Platypharodon extremus","1019571"
"Poropuntius deauratus","1022191"
"Procypris merus","1621515"
"Procypris rabaudi","1015895"
"Prolabeo batesi","1015702"
"Prolabeops melanhypoptera","1623037"
"Pseudobarbus asper","1017779"
"Pseudolaubuca jouyi","1018533"
"Pseudoperilampus hondae","1532779"
"Pseudophoxinus stymphalicus","1624258"
"Pseudopungtungia nigra","1015268"
"Ptychidio jordani","1015865"
"Pungtungia herzi","1375227"
"Puntioplites bulu","1021774"
"Puntioplites waandersi","1021289"
"Puntioplites proctozystron","1020932"
"Rasborichthys helfrichii","1021448"
"Rasborinus lineatus","1623173"
"Rectoris posehensis","1015271"
"Relictus solitarius","1383636"
"Richardsonius balteatus","592850"
"Rohteichthys microlepis","1021828"
"Romanogobio tenuicorpus","1015549"
"Salmostoma bacaila","282655"
"Sanagia velifera","1016243"
"Saurogobio dabryi","298273"
"Sawbwa resplendens","1017016"
"Scaphognathops bandanensis","1013128"
"Schismatorhynchos heterorhynchos","1419158"
"Schizocypris brucei","1017239"
"Schizothorax curvifrons","1013990"
"Schizothorax esocinus","1017935"
"Schizothorax richardsonii","1018368"
"Schizothorax yunnanensis","-999"
"Schizothorax cryptolepis","1012026"
"Schizothorax davidi","1019700"
"Schizothorax prenanti","1015896"
"Schizothorax molesworthi","1017390"
"Schizothorax progastus","1026849"
"Schizothorax plagiostomus","1022183"
"Securicula gora","-999"
"Semilabeo notabilis","1383101"
"Sikukia gudgeri","1296624"
"Sinibrama macrops","1020731"
"Sinilabeo decorus","1533876"
"Sinocyclocheilus anatirostris","1010499"
"Sinocyclocheilus grahami","282800"
"Spinibarbus denticulatus","1016276"
"Spinibarbus sinensis","1020560"
"Spratellicypris palata","1622487"
"Squalidus biwae","1623475"
"Stypodon signifer","1019968"
"Systomus brevis","1537264"
"Systomus partipentazona","1623419"
"Systomus sarana","321753"
"Thryssocypris ornithostoma","1011281"
"Tropidophoxinellus hellenicus","1475751"
"Typhlobarbus nudiventris","1012240"
"Xenobarbus loveridgei","1383198"
"Xenocypris argentea","1020760"
"Xenocypris davidi","283183"
"Blicca bjoerkna","154274"
"Barbonymus gonionotus","1026316"
"Barbonymus altus","1015056"
"Barbonymus schwanenfeldii","1622247"
"Luciobarbus bocagei","474117"
"Luciobarbus comizo","1021045"
"Luciobarbus graellsii","1020876"
"Luciobarbus sclateri","1020754"
"Luciobarbus capito","1016630"
"Gymnodiptychus dybowskii","1019694"
"Gymnodiptychus pachycheilus","1019225"
"Aspiorhynchus laticeps","1017931"
"Coreius guichenoti","1014768"
"Percocypris pingi","1015890"
"Ancherythroculter nigrocauda","1013508"
"Varicorhinus beso","1022119"
"Ballerus ballerus","279859"
"Ballerus sapa","1014943"
"Enteromius litamba","1526060"
"Gymnostomus ariza","1526395"
"Squalius cephalus","282855"
"Telestes souffia","-999"
"Cyprinidae","-999"
"Gyrinocheilus aymonieri","1026903"
"Acanthopsoides delphax","1384003"
"Acantopsis choirorhynchos","275369"
"Botia dario","1011889"
"Cobitis aurata","1021109"
"Cobitis biwae","1250561"
"Cobitis taenia","154373"
"Cobitis granoei","1247435"
"Cobitis maroccana","1015986"
"Lepidocephalichthys guntea","281291"
"Lepidocephalichthys thermalis","1021849"
"Somileptes gongota","1623318"
"Sabanejewia balcanica","1016368"
"Paramisgurnus dabryanus","-999"
"Pangio agma","1525867"
"Niwaella delicata","1015085"
"Leptobotia curta","1623089"
"Neoeucirrhichthys maydelli","1011807"
"Lepidocephalus annandalei","1623315"
"Misgurnus anguillicaudatus","991279"
